"#,""Nr."",""Naam"",""Ronden"",""Leider"",""Rondetijd"",""Snelheid"",""Verstreken Tijd"",""Huidige Tijd"",""Hits"",""Sterkte"",""noise"",""Fotocel Tijd"",""Transponder"""
"1,"""",""Opwarm Vlag"","""","""","""","""","""",""9:48:38.543"","""","""","""","""","""""
"2,"""",""Groene Vlag"","""","""","""","""",""0.000"",""9:48:48.187"","""","""","""","""","""""
"3,""306"",""Liese Van der Laan"",""1"",""1"","""",""0,0"",""8.421"",""9:48:56.608"",""40"",""112"",""24"","""",""KT-60439"""
"4,""294"",""Moos Veefkind"",""1"",""1"","""",""0,0"",""8.625"",""9:48:56.812"",""44"",""114"",""24"","""",""SN-15823"""
"5,""101"",""Jannemijn Tjeerdsma"",""1"",""1"","""",""0,0"",""8.805"",""9:48:56.992"",""35"",""105"",""24"","""",""LW-77589"""
"6,""306"",""liese vd laan "",""1"",""1"","""",""0,0"",""9.052"",""9:48:57.239"",""38"",""98"",""24"","""",""PS-85344"""
"7,""242"",""Jurrian Kromkamp"",""1"",""1"","""",""0,0"",""9.159"",""9:48:57.346"",""35"",""123"",""24"","""",""KZ-77507"""
"8,""306"",""Liese Van der Laan"",""2"",""2"",""11.055"",""36,1"",""19.476"",""9:49:07.663"",""38"",""116"",""23"","""",""KT-60439"""
"9,""294"",""Moos Veefkind"",""2"",""2"",""11.024"",""36,2"",""19.649"",""9:49:07.836"",""36"",""110"",""23"","""",""SN-15823"""
"10,""101"",""Jannemijn Tjeerdsma"",""2"",""2"",""11.124"",""35,9"",""19.929"",""9:49:08.116"",""39"",""114"",""23"","""",""LW-77589"""
"11,""306"",""liese vd laan "",""2"",""2"",""11.126"",""35,9"",""20.178"",""9:49:08.365"",""23"",""102"",""23"","""",""PS-85344"""
"12,""242"",""Jurrian Kromkamp"",""2"",""2"",""11.336"",""35,3"",""20.495"",""9:49:08.682"",""15"",""106"",""23"","""",""KZ-77507"""
"13,""294"",""Moos Veefkind"",""3"",""3"",""10.745"",""37,2"",""30.394"",""9:49:18.581"",""37"",""109"",""24"","""",""SN-15823"""
"14,""306"",""Liese Van der Laan"",""3"",""3"",""11.057"",""36,1"",""30.533"",""9:49:18.720"",""30"",""111"",""24"","""",""KT-60439"""
"15,""101"",""Jannemijn Tjeerdsma"",""3"",""3"",""10.627"",""37,6"",""30.556"",""9:49:18.743"",""43"",""117"",""24"","""",""LW-77589"""
"16,""306"",""liese vd laan "",""3"",""3"",""10.688"",""37,4"",""30.866"",""9:49:19.053"",""18"",""96"",""24"","""",""PS-85344"""
"17,""294"",""Moos Veefkind"",""4"",""4"",""10.921"",""36,6"",""41.315"",""9:49:29.502"",""34"",""110"",""23"","""",""SN-15823"""
"18,""101"",""Jannemijn Tjeerdsma"",""4"",""4"",""10.825"",""36,9"",""41.381"",""9:49:29.568"",""40"",""119"",""23"","""",""LW-77589"""
"19,""306"",""Liese Van der Laan"",""4"",""4"",""11.144"",""35,9"",""41.677"",""9:49:29.864"",""31"",""105"",""23"","""",""KT-60439"""
"20,""306"",""liese vd laan "",""4"",""4"",""11.032"",""36,2"",""41.898"",""9:49:30.085"",""20"",""93"",""23"","""",""PS-85344"""
"21,""242"",""Jurrian Kromkamp"",""3"",""4"",""21.536"",""18,6"",""42.031"",""9:49:30.218"",""32"",""122"",""23"","""",""KZ-77507"""
"22,""101"",""Jannemijn Tjeerdsma"",""5"",""5"",""11.078"",""36,1"",""52.459"",""9:49:40.646"",""41"",""113"",""24"","""",""LW-77589"""
"23,""294"",""Moos Veefkind"",""5"",""5"",""11.294"",""35,4"",""52.609"",""9:49:40.796"",""34"",""109"",""24"","""",""SN-15823"""
"24,""306"",""liese vd laan "",""5"",""5"",""11.077"",""36,1"",""52.975"",""9:49:41.162"",""26"",""88"",""24"","""",""PS-85344"""
"25,""242"",""Jurrian Kromkamp"",""4"",""5"",""11.089"",""36,0"",""53.120"",""9:49:41.307"",""27"",""124"",""24"","""",""KZ-77507"""
"26,""306"",""Liese Van der Laan"",""5"",""5"",""11.703"",""34,1"",""53.380"",""9:49:41.567"",""44"",""95"",""24"","""",""KT-60439"""
"27,""306"",""liese vd laan "",""5"",""5"",""11.934"",""33,5"",""52.975"",""9:49:53.096"",""20"",""76"",""24"","""",""PS-85344"""
"28,""101"",""Jannemijn Tjeerdsma"",""5"",""5"",""13.553"",""29,5"",""52.459"",""9:49:54.199"",""58"",""115"",""24"","""",""LW-77589"""
"29,""294"",""Moos Veefkind"",""5"",""5"",""14.719"",""27,1"",""52.609"",""9:49:55.515"",""62"",""109"",""24"","""",""SN-15823"""
"30,"""",""Extra Vlag"","""","""","""","""",""1:07.734"",""9:49:55.921"","""","""","""","""","""""
"31,""242"",""Jurrian Kromkamp"",""4"",""5"",""15.403"",""25,9"",""53.120"",""9:49:56.710"",""43"",""124"",""24"","""",""KZ-77507"""
